codes,smr
E01000780,1.338975393
E01000781,2.691164398
E01000782,1.990996888
E01000783,2.256076186
E01000784,0.759239054
E01000785,0.984990756
E01000786,0.737833039
E01000787,1.935568502
E01000788,1.260747577
E01000789,1.116371019
E01000790,1.199549529
E01000791,1.457591044
E01000792,1.460002
E01000793,0.486626187
E01000794,0.918587257
E01000795,1.043302862
E01000796,1.338295762
E01000797,1.730654314
E01000798,1.052160875
E01000799,0.602907114
E01000800,0.869638926
E01000801,1.517990602
E01000802,1.137451937
E01000803,1.273513892
E01000804,1.029296826
E01000805,1.647193161
E01000806,1.148617475
E01000807,1.054518925
E01000808,1.389368212
E01000809,1.216348294
E01000810,0.621448427
E01000811,0.971073498
E01000812,0.905643344
E01000813,0.804964457
E01000814,0.560844514
E01000815,0.841556074
E01000816,1.43069521
E01000818,1.095077761
E01000819,1.859423292
E01000820,3.065612291
E01000822,0.976674278
E01000823,1.261850219
E01000824,0.825243053
E01000825,0.815348102
E01000826,1.384576695
E01000827,0.900020757
E01000828,0.651379073
E01000829,0.888782194
E01000830,0.641511321
E01000831,1.346064486
E01000832,1.321818102
E01000833,0.742799973
E01000834,0.709896106
E01000835,0.877942977
E01000836,0.432886011
E01000837,1.020714644
E01000838,1.431921158
E01000839,1.106294708
E01000840,0.566956916
E01000841,0.970600554
E01000842,1.034056834
E01000843,1.159986092
E01000844,1.078694916
E01000845,0.527161849
E01000846,1.557954977
E01000847,1.347381752
E01000848,0.67284553
E01000849,0.879757392
E01000850,1.723075105
E01000851,0.830682599
E01000852,1.23484412
E01000853,1.577116916
E01000854,0.803003884
E01000855,1.169991308
E01000856,1.416322488
E01000857,1.370930608
E01000858,1.549254124
E01000859,0.700743207
E01000860,0.957396787
E01000861,1.691431058
E01000862,1.331002453
E01000863,0.823187854
E01000864,1.426729948
E01000865,1.369584116
E01000866,1.421008899
E01000867,1.659142031
E01000868,1.36387689
E01000869,1.559161984
E01000870,1.96117458
E01000871,1.054798218
E01000872,0.738687283
E01000873,0.791005192
E01000874,0.788497181
E01000875,0.929141231
E01000876,1.449478141
E01000877,0.620945029
E01000878,1.010893997
E01000879,1.044524569
E01000880,0.47273579
E01000881,0.439916492
E01000882,0.743474396
E01000883,1.286929881
E01000884,0.533734431
E01000885,1.044228737
E01000886,1.678014901
E01000887,1.064610363
E01000888,0.826711432
E01000889,2.074480138
E01000890,2.09707356
E01000891,2.341489131
E01000892,0.922856699
E01000893,0.671349422
E01000894,1.054942331
E01000895,1.086876466
E01000896,0.590609141
E01000897,0.629789266
E01000898,1.900021418
E01000899,0.876277567
E01000900,1.724537013
E01000901,1.294275216
E01000902,1.269207855
E01000903,1.522832557
E01000904,1.524922301
E01000905,1.574109511
E01000906,1.355024828
E01000907,2.02753458
E01000908,0.773674925
E01000909,0.637176806
E01000910,0.521312675
E01000911,1.080150863
E01000912,1.632725262
E01000913,0.85121841
E01000914,0.35580956
E01000915,1.269266943
E01000916,0.960872958
E01000917,1.441576337
E01000918,1.276540031
E01000919,1.341535168
E01000920,1.271636723
E01000921,0.829277609
E01000922,1.451092141
E01000923,1.457812842
E01000924,1.330398971
E01000925,1.276644294
E01000926,1.482922218
E01000927,1.22951831
E01000928,2.008370888
E01000929,1.093232464
E01000930,1.612725572
E01000931,1.473133831
E01000932,1.548541127
E01000933,1.241958207
E01000934,1.554981131
E01000935,1.001757755
E01000936,1.226006653
E01000937,1.005203759
E01000938,1.203952362
E01000939,1.441353064
E01000940,0.713442572
E01000941,2.71899802
E01000942,0.381084707
E01000943,1.002804389
E01000944,0.953936512
E01000945,1.395001394
E01000946,0.801794013
E01000947,1.830613392
E01000948,1.343464232
E01000949,2.117412289
E01000950,1.2222857
E01000951,1.354383705
E01000952,1.762333778
E01000953,0.991215453
E01000954,1.410110478
